#{"t_start": 1584126944.1715174, "env_id": null}
r,l,t
1.190476,9,170.781653
1.214286,10,170.982723
-9.642857,16,171.257705
1.119048,6,171.346253
-0.833333,8,171.463219
1.238095,11,171.618976
1.166667,8,171.731009
-9.738095,12,171.908747
-9.738095,12,172.085661
1.119048,6,172.187449
-0.904762,5,172.334149
-0.761905,11,172.562775
1.166667,8,172.702522
1.214286,10,172.853302
-0.857143,7,173.008954
1.214286,10,173.189892
-9.642857,16,173.448726
-0.809524,9,174.663522
1.285714,13,174.835596
1.095238,5,174.918872
-9.833333,8,175.029598
1.357143,16,175.29433
1.261905,12,175.496021
-0.809524,9,175.678584
1.142857,7,175.834799
1.190476,9,176.05048
1.285714,13,176.30186
-0.904762,5,176.395213
1.119048,6,176.485946
-0.785714,10,176.637953
1.261905,12,176.803367
1.190476,9,176.9632
-9.738095,12,177.201427
1.142857,7,177.344236
-0.857143,7,177.49074
1.214286,10,177.668218
-9.761905,11,177.822978
1.261905,12,178.017695
-9.714286,13,178.332544
1.095238,5,178.436941
1.238095,11,178.640851
-0.738095,12,178.910598
-0.904762,5,179.041943
1.119048,6,179.178574
-0.761905,11,180.637257
1.190476,9,180.878541
1.309524,14,181.177552
-0.761905,11,181.397662
-0.880952,6,181.52378
1.119048,6,181.640218
-0.857143,7,181.781367
-0.785714,10,181.966305
-9.761905,11,182.139383
1.214286,10,182.307269
1.190476,9,182.456348
-0.785714,10,182.601492
-9.690476,14,182.799516
-0.809524,9,182.935479
1.190476,9,183.101581
1.309524,14,183.331626
1.095238,5,183.421181
-0.690476,14,183.678838
-0.761905,11,183.858319
-9.738095,12,184.038924
1.214286,10,184.188834
1.166667,8,184.304679
1.142857,7,184.424201
1.309524,14,184.694637
-9.761905,11,184.922031
-9.690476,14,186.262012
1.095238,5,186.360235
-0.785714,10,186.528319
1.214286,10,186.687663
-9.690476,14,186.945602
1.285714,13,187.140087
-0.809524,9,187.264325
-0.880952,6,187.379079
1.119048,6,187.472438
-0.904762,5,187.559621
1.095238,5,187.631902
1.214286,10,187.815722
-0.714286,13,188.079583
1.238095,11,188.294863
1.214286,10,188.499472
-0.880952,6,188.594776
-0.904762,5,188.672638
-0.809524,9,188.882081
-0.714286,13,189.106556
-0.809524,9,189.264053
-9.761905,11,189.423106
-9.714286,13,189.609012
1.214286,10,189.743996
1.285714,13,189.91972
1.119048,6,190.035766
-9.666667,15,190.269408
-9.690476,14,191.877475
1.190476,9,192.095695
1.214286,10,192.298328
-9.642857,16,192.632749
1.309524,14,192.96383
-9.642857,16,193.260696
1.190476,9,193.4275
1.214286,10,193.608507
1.166667,8,193.750322
1.071429,4,193.8387
-0.880952,6,193.965251
-0.833333,8,194.164258
-0.809524,9,194.378705
1.190476,9,194.582984
-0.809524,9,194.783403
1.190476,9,194.969884
-9.785714,10,195.175719
1.095238,5,195.265023
-9.714286,13,195.486876
-0.857143,7,195.615335
1.071429,4,195.700749
1.119048,6,195.862642
1.142857,7,196.067655
1.142857,7,196.251558
-0.809524,9,196.453962
-9.690476,14,196.751092
-9.738095,12,197.005537
-0.738095,12,197.263596
1.166667,8,198.675758
1.214286,10,198.894065
1.285714,13,199.178285
-0.809524,9,199.380961
-9.761905,11,199.588453
1.142857,7,199.721648
1.214286,10,199.895667
-0.857143,7,200.037283
-9.666667,15,200.307211
1.238095,11,200.547414
-0.809524,9,200.736244
1.190476,9,200.913624
1.238095,11,201.136769
1.190476,9,201.336293
-0.785714,10,201.618051
1.214286,10,201.847385
1.214286,10,202.112183
1.119048,6,202.237944
1.071429,4,202.335751
1.261905,12,202.534774
-9.738095,12,202.709323
-9.738095,12,202.878203
-9.666667,15,203.142462
-9.595238,18,203.420471
1.142857,7,203.543507
1.309524,14,204.867075
1.095238,5,204.999941
-0.809524,9,205.229254
-0.761905,11,205.462986
1.214286,10,205.660882
1.238095,11,205.899621
-0.809524,9,206.097804
1.214286,10,206.331992
1.071429,4,206.433255
1.142857,7,206.666051
1.071429,4,206.787171
1.142857,7,206.988576
1.190476,9,207.229156
-9.809524,9,207.418156
1.166667,8,207.590674
-9.642857,16,207.958311
1.261905,12,208.27943
1.214286,10,208.537394
1.142857,7,208.758689
-0.690476,14,209.396903
1.214286,10,209.637855
1.261905,12,210.031371
1.095238,5,210.19192
1.238095,11,210.559102
-0.666667,15,210.93507
-9.761905,11,211.219526
-0.785714,10,212.87118
-9.738095,12,213.165944
1.142857,7,213.290815
-0.690476,14,213.729446
1.261905,12,214.013628
1.095238,5,214.115964
-0.738095,12,214.362773
1.214286,10,214.578638
1.285714,13,214.88165
1.190476,9,215.103208
1.238095,11,215.352212
1.119048,6,215.461072
-9.714286,13,215.672829
1.214286,10,215.825119
1.071429,4,215.893111
1.071429,4,215.967885
1.238095,11,216.132255
-0.809524,9,216.283047
1.190476,9,216.419672
1.214286,10,216.588864
1.285714,13,216.821601
-9.666667,15,217.072857
1.214286,10,217.249173
1.238095,11,217.42558
1.214286,10,217.609142
-9.690476,14,217.854124
1.142857,7,219.373511
1.166667,8,219.577859
1.261905,12,219.820065
-0.833333,8,219.985943
1.166667,8,220.158046
1.166667,8,220.313215
1.095238,5,220.412144
1.214286,10,220.582904
-9.690476,14,220.827438
-0.738095,12,221.059551
-0.833333,8,221.184201
1.214286,10,221.32722
-0.880952,6,221.419238
1.095238,5,221.506086
-0.809524,9,221.661546
1.309524,14,221.866001
-9.761905,11,222.053003
-0.738095,12,222.249427
1.214286,10,222.430761
-0.880952,6,222.542204
1.190476,9,222.770071
-9.642857,16,223.093531
-9.809524,9,223.252808
-0.857143,7,223.370768
-0.761905,11,223.577766
1.238095,11,223.789418
-9.738095,12,225.268862
1.261905,12,225.507227
1.261905,12,225.759131
-9.666667,15,226.019565
-0.833333,8,226.157421
-0.833333,8,226.287591
-9.714286,13,226.492246
1.166667,8,226.641375
-9.833333,8,226.77796
1.333333,15,227.006532
-9.738095,12,227.201596
-9.619048,17,227.466629
-0.904762,5,227.567965
1.238095,11,227.720813
1.309524,14,227.946146
1.166667,8,228.087258
1.285714,13,228.287605
1.285714,13,228.48561
-0.833333,8,228.640846
1.214286,10,228.809268
1.261905,12,229.024433
-0.761905,11,229.212165
-0.833333,8,229.338066
1.190476,9,229.487768
1.119048,6,231.1148
1.190476,9,231.319431
-0.809524,9,231.501818
-9.738095,12,231.736183
1.190476,9,231.951457
1.166667,8,232.167567
1.214286,10,232.348313
-0.809524,9,232.535909
-9.738095,12,232.745107
-0.833333,8,232.939404
1.238095,11,233.140055
1.119048,6,233.231925
1.190476,9,233.383302
1.166667,8,233.486851
-9.714286,13,233.678796
1.142857,7,233.82055
1.214286,10,234.080544
-9.690476,14,234.401317
1.095238,5,234.582324
-9.785714,10,234.777241
1.190476,9,234.959459
1.238095,11,235.216214
1.166667,8,235.403939
1.261905,12,235.648931
-9.738095,12,235.857849
1.142857,7,236.012007
1.095238,5,236.108934
1.190476,9,236.262994
1.285714,13,237.615099
-0.785714,10,237.823394
1.190476,9,237.972636
1.166667,8,238.111596
-0.857143,7,238.242539
1.285714,13,238.588085
-9.738095,12,238.854303
1.214286,10,239.079486
1.119048,6,239.190612
-9.785714,10,239.360195
-9.833333,8,239.514583
1.238095,11,239.758196
-0.809524,9,239.967168
1.238095,11,240.253749
-0.785714,10,240.455922
1.190476,9,240.595362
1.238095,11,240.768777
-9.619048,17,241.225961
-9.738095,12,241.486598
1.214286,10,241.712276
-0.833333,8,241.928661
1.238095,11,242.217644
-9.690476,14,242.445763
1.166667,8,242.593569
1.214286,10,242.748558
1.119048,6,244.096895
1.261905,12,244.336694
-9.714286,13,244.591593
1.190476,9,244.769518
-0.809524,9,244.949088
1.142857,7,245.101321
1.095238,5,245.208941
1.190476,9,245.391228
-0.880952,6,245.532566
1.142857,7,245.70266
-0.785714,10,245.975206
1.095238,5,246.231212
1.261905,12,246.607223
1.119048,6,246.824905
1.333333,15,247.18735
-0.761905,11,247.413202
1.142857,7,247.553755
-0.761905,11,247.776255
1.214286,10,247.985747
-9.785714,10,248.185204
1.214286,10,248.391462
1.214286,10,248.610971
1.214286,10,248.883141
1.071429,4,248.998534
1.095238,5,249.148726
1.142857,7,249.319895
1.333333,15,249.67793
1.238095,11,249.895114
1.190476,9,251.290251
-0.904762,5,251.418608
-0.761905,11,251.677488
1.190476,9,251.887869
1.238095,11,252.123306
1.190476,9,252.294641
1.142857,7,252.476542
-0.809524,9,252.688988
1.238095,11,252.894618
1.190476,9,253.043299
-0.738095,12,253.209872
-9.738095,12,253.409905
1.333333,15,253.670047
-9.738095,12,253.880081
1.214286,10,254.048921
-0.738095,12,254.247181
1.214286,10,254.38867
-0.857143,7,254.500459
1.119048,6,254.598663
-0.809524,9,254.728225
